sex,afqt,arith,word,parag,math
male,122,34,22,32,38
female,117,36,24,26,37
male,122,35,25,26,37
male,122,36,22,20,44
female,116,31,25,29,35
male,121,39,24,20,38
female,116,32,20,29,40
male,116,39,24,26,33
female,109,35,21,29,30
male,107,32,20,23,33
female,115,30,24,29,35
male,121,36,24,29,35
male,117,35,25,23,38
female,102,30,20,26,30
female,121,32,28,26,35
female,115,32,24,32,33
female,112,30,21,29,38
female,109,30,21,29,35
female,116,34,24,26,38
male,112,31,24,20,37
female,95,26,20,20,29
male,118,39,24,23,35
female,113,31,25,23,38
female,118,36,20,23,40
female,101,28,20,20,33
male,115,34,25,23,37
female,111,34,21,23,33
female,110,31,21,32,35
male,114,35,21,20,37
male,116,35,21,29,37
male,113,34,25,20,35
male,110,28,25,29,32
male,122,42,20,23,38
male,117,32,24,32,35
male,114,35,21,29,35
female,119,39,24,32,30
female,111,35,24,26,32
male,114,31,28,29,29
male,118,36,28,20,32
male,119,31,22,32,38
female,120,30,29,29,32
male,113,34,21,29,35
female,122,35,26,23,37
female,112,30,24,26,38
female,95,26,20,20,29
female,95,26,20,20,29
male,95,26,20,20,29
female,95,26,20,20,29
female,116,30,30,23,32
female,109,32,22,20,35
male,111,35,26,20,32
male,107,31,24,20,32
male,122,35,29,20,37
male,117,35,21,26,38
female,121,39,21,26,38
male,117,32,22,26,41
male,121,34,28,26,33
female,114,32,25,26,32
male,110,30,21,38,30
male,115,36,26,20,35
male,120,38,21,23,38
female,117,36,21,26,37
male,116,30,28,29,32
female,114,35,24,20,35
female,113,31,21,29,38
male,118,31,26,23,37
male,117,35,24,29,32
male,122,31,29,23,37
female,120,31,31,20,35
male,109,32,24,20,33
male,118,36,22,29,38
male,95,26,20,20,29
female,112,35,26,20,33
female,95,26,20,20,29
male,95,26,20,20,29
female,95,26,20,20,29
female,95,26,20,20,29
male,121,35,24,35,32
male,117,32,22,29,41
male,121,36,22,32,35
female,95,26,20,20,29
male,118,34,22,29,40
male,120,38,21,29,38
male,120,39,21,29,37
male,113,36,24,20,33
