educ,income
high school,1000
high school,1200
high school,1300
high school,1500
high school,1500
high school,1800
high school,2000
high school,2000
high school,2000
high school,2000
high school,2000
high school,2000
high school,2000
high school,2000
high school,2200
high school,2200
high school,3000
high school,3000
high school,3000
high school,3000
high school,3000
high school,3000
high school,3000
high school,3000
high school,3000
high school,3000
high school,3000
high school,3000
high school,3000
high school,3200
high school,3200
high school,3400
high school,3500
high school,3600
high school,3600
high school,3800
high school,3900
high school,4000
high school,4000
high school,4000
high school,4000
high school,4000
high school,4000
high school,4500
high school,4600
high school,4800
high school,5000
high school,5000
high school,5000
high school,5000
high school,5000
high school,5000
high school,5000
high school,5000
high school,5000
high school,5000
high school,5000
high school,5000
high school,5000
high school,5300
high school,5500
high school,5700
high school,6000
high school,6000
high school,6000
high school,6000
high school,6000
high school,6000
high school,6000
high school,6000
high school,6100
high school,6500
high school,6600
high school,7000
high school,7000
high school,7000
high school,7000
high school,7000
high school,7000
high school,7200
high school,7200
high school,7200
high school,7200
high school,7300
high school,7500
high school,7500
high school,7500
high school,8000
high school,8000
high school,8000
high school,8000
high school,8000
high school,8000
high school,8000
high school,8000
high school,8000
high school,8000
high school,8000
high school,8000
high school,8000
high school,8400
high school,8400
high school,8500
high school,8500
high school,8600
high school,8600
high school,8700
high school,9000
high school,9000
high school,9000
high school,9000
high school,9000
high school,9000
high school,9000
high school,9000
high school,9000
high school,9200
high school,9300
high school,9500
high school,9500
high school,9600
high school,9600
high school,9600
high school,9700
high school,9800
high school,10000
high school,10000
high school,10000
high school,10000
high school,10000
high school,10000
high school,10000
high school,10000
high school,10000
high school,10000
high school,10000
high school,10000
high school,10000
high school,10000
high school,10000
high school,10100
high school,10500
high school,10500
high school,10800
high school,10800
high school,10900
high school,10900
high school,11000
high school,11000
high school,11000
high school,11000
high school,11000
high school,11000
high school,11000
high school,11000
high school,11500
high school,11500
high school,11500
high school,11600
high school,11600
high school,11700
high school,12000
high school,12000
high school,12000
high school,12000
high school,12000
high school,12000
high school,12000
high school,12000
high school,12000
high school,12000
high school,12000
high school,12000
high school,12000
high school,12000
high school,12000
high school,12000
high school,12000
high school,12000
high school,12000
high school,12000
high school,12000
high school,12000
high school,12000
high school,12000
high school,12000
high school,12000
high school,12000
high school,12000
high school,12500
high school,12500
high school,12500
high school,12500
high school,12600
high school,12600
high school,12700
high school,12800
high school,13000
high school,13000
high school,13000
high school,13000
high school,13000
high school,13000
high school,13000
high school,13000
high school,13000
high school,13000
high school,13000
high school,13100
high school,13200
high school,13500
high school,13500
high school,13700
high school,14000
high school,14000
high school,14000
high school,14000
high school,14000
high school,14000
high school,14000
high school,14000
high school,14000
high school,14000
high school,14000
high school,14000
high school,14000
high school,14000
high school,14000
high school,14800
high school,15000
high school,15000
high school,15000
high school,15000
high school,15000
high school,15000
high school,15000
high school,15000
high school,15000
high school,15000
high school,15000
high school,15000
high school,15000
high school,15000
high school,15000
high school,15000
high school,15000
high school,15000
high school,15000
high school,15000
high school,15000
high school,15000
high school,15000
high school,15000
high school,15000
high school,15000
high school,15000
high school,15000
high school,15000
high school,15000
high school,15000
high school,15000
high school,15000
high school,15500
high school,15800
high school,16000
high school,16000
high school,16000
high school,16000
high school,16000
high school,16000
high school,16000
high school,16000
high school,16000
high school,16000
high school,16000
high school,16000
high school,16000
high school,16000
high school,16000
high school,16000
high school,16000
high school,16000
high school,16000
high school,16000
high school,16000
high school,16200
high school,16200
high school,16300
high school,16400
high school,16700
high school,17000
high school,17000
high school,17000
high school,17000
high school,17000
high school,17000
high school,17000
high school,17000
high school,17000
high school,17000
high school,17000
high school,17000
high school,17000
high school,17000
high school,17400
high school,17500
high school,18000
high school,18000
high school,18000
high school,18000
high school,18000
high school,18000
high school,18000
high school,18000
high school,18000
high school,18000
high school,18000
high school,18000
high school,18000
high school,18000
high school,18000
high school,18000
high school,18000
high school,18000
high school,18000
high school,18000
high school,18000
high school,18000
high school,18000
high school,18600
high school,18700
high school,19000
high school,19000
high school,19000
high school,19000
high school,19000
high school,19000
high school,19000
high school,19000
high school,19000
high school,19000
high school,19000
high school,19000
high school,19100
high school,19200
high school,19200
high school,19500
high school,19800
high school,19900
high school,20000
high school,20000
high school,20000
high school,20000
high school,20000
high school,20000
high school,20000
high school,20000
high school,20000
high school,20000
high school,20000
high school,20000
high school,20000
high school,20000
high school,20000
high school,20000
high school,20000
high school,20000
high school,20000
high school,20000
high school,20000
high school,20000
high school,20000
high school,20000
high school,20000
high school,20000
high school,20000
high school,20000
high school,20000
high school,20000
high school,20000
high school,20000
high school,20000
high school,20000
high school,20000
high school,20000
high school,20000
high school,20000
high school,20000
high school,20000
high school,20000
high school,20200
high school,20200
high school,20400
high school,20400
high school,20500
high school,20500
high school,20500
high school,21000
high school,21000
high school,21000
high school,21000
high school,21000
high school,21000
high school,21000
high school,21000
high school,21000
high school,21200
high school,21400
high school,21500
high school,21500
high school,21500
high school,21600
high school,21700
high school,21800
high school,21900
high school,22000
high school,22000
high school,22000
high school,22000
high school,22000
high school,22000
high school,22000
high school,22000
high school,22000
high school,22000
high school,22000
high school,22000
high school,22000
high school,22000
high school,22000
high school,22000
high school,22000
high school,22000
high school,22000
high school,22000
high school,22000
high school,22000
high school,22000
high school,22000
high school,22000
high school,22000
high school,22000
high school,22000
high school,22000
high school,22000
high school,22100
high school,22500
high school,22500
high school,22800
high school,23000
high school,23000
high school,23000
high school,23000
high school,23000
high school,23000
high school,23000
high school,23000
high school,23000
high school,23000
high school,23000
high school,23000
high school,23100
high school,23300
high school,23400
high school,23400
high school,23500
high school,23600
high school,24000
high school,24000
high school,24000
high school,24000
high school,24000
high school,24000
high school,24000
high school,24000
high school,24000
high school,24000
high school,24000
high school,24000
high school,24000
high school,24000
high school,24000
high school,24000
high school,24000
high school,24000
high school,24000
high school,24000
high school,24000
high school,24000
high school,24000
high school,24000
high school,24000
high school,24000
high school,24000
high school,24000
high school,24200
high school,24300
high school,24500
high school,25000
high school,25000
high school,25000
high school,25000
high school,25000
high school,25000
high school,25000
high school,25000
high school,25000
high school,25000
high school,25000
high school,25000
high school,25000
high school,25000
high school,25000
high school,25000
high school,25000
high school,25000
high school,25000
high school,25000
high school,25000
high school,25000
high school,25000
high school,25000
high school,25000
high school,25000
high school,25000
high school,25000
high school,25000
high school,25000
high school,25000
high school,25000
high school,25000
